cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Acute upper respiratory infections of multiple and unspecified sites (J06),no.,1,1,2,22,31,53,26.5,J06,22,31,26.5
Influenza and pneumonia (J09-J18),no.,1718,1947,3665,9436,8404,17840,4.9,J09-J18,5.492433061699651,4.31638418079096,4.867667121418827
Influenza due to certain identified influenza virus (J09),no.,2,0,2,2,0,2,1,J09,1,NA,1
Influenza due to other identified influenza virus (J10),no.,345,369,714,566,596,1162,1.6,J10,1.6405797101449275,1.6151761517615175,1.6274509803921569
"Influenza, virus not identified (J11)",no.,50,61,111,91,88,179,1.6,J11,1.82,1.4426229508196722,1.6126126126126126
"Viral pneumonia, not elsewhere classified (J12)",no.,70,104,174,667,646,1313,7.5,J12,9.528571428571428,6.211538461538462,7.545977011494253
Pneumonia due to Streptococcus pneumoniae (J13),no.,12,5,17,26,18,44,2.6,J13,2.1666666666666665,3.6,2.588235294117647
Pneumonia due to Haemophilus influenzae (J14),no.,2,3,5,6,11,17,3.4,J14,3,3.6666666666666665,3.4
"Bacterial pneumonia, not elsewhere classified (J15)",no.,47,36,83,322,281,603,7.3,J15,6.851063829787234,7.805555555555555,7.265060240963855
"Pneumonia due to other infectious organisms, not elsewhere classified (J16)",no.,1,0,1,3,1,4,4,J16,3,NA,4
"Pneumonia, organism unspecified (J18)",no.,1189,1369,2558,7753,6763,14516,5.7,J18,6.520605550883095,4.940102264426589,5.674745895230649
Other acute lower respiratory infections (J20-J22),no.,113,189,302,869,963,1832,6.1,J20-J22,7.6902654867256635,5.095238095238095,6.066225165562914
Acute bronchitis (J20),no.,5,3,8,17,15,32,4,J20,3.4,5,4
Acute bronchiolitis (J21),no.,3,0,3,20,9,29,9.7,J21,6.666666666666667,NA,9.666666666666666
Unspecified acute lower respiratory infection (J22),no.,105,186,291,832,939,1771,6.1,J22,7.923809523809524,5.048387096774194,6.085910652920962
Other diseases of upper respiratory tract (J30-J39),no.,25,22,47,100,72,172,3.7,J30-J39,4,3.272727272727273,3.6595744680851063
Vasomotor and allergic rhinitis (J30),no.,0,0,0,3,3,6,NA,J30,NA,NA,NA
"Chronic rhinitis, nasopharyngitis and pharyngitis (J31)",no.,0,0,0,0,1,1,NA,J31,NA,NA,NA
Chronic sinusitis (J32),no.,7,2,9,23,8,31,3.4,J32,3.2857142857142856,4,3.4444444444444446
Nasal polyp (J33),no.,0,0,0,0,0,0,NA,J33,NA,NA,NA
Other disorders of nose and nasal sinuses (J34),no.,0,0,0,2,2,4,NA,J34,NA,NA,NA
Chronic diseases of tonsils and adenoids (J35),no.,0,1,1,2,1,3,3,J35,NA,1,3
Peritonsillar abscess (J36),no.,0,1,1,0,1,1,1,J36,NA,1,1
Chronic laryngitis and laryngotracheitis (J37),no.,0,0,0,0,0,0,NA,J37,NA,NA,NA
"Diseases of vocal cords and larynx, not elsewhere classified (J38)",no.,13,8,21,46,24,70,3.3,J38,3.5384615384615383,3,3.3333333333333335
Other diseases of upper respiratory tract (J39),no.,5,10,15,24,32,56,3.7,J39,4.8,3.2,3.7333333333333334
Chronic lower respiratory diseases (J40-J47),no.,4572,4657,9229,13219,12095,25314,2.7,J40-J47,2.8912948381452317,2.597165557225682,2.7428757178459207
"Bronchitis, not specified as acute or chronic (J40)",no.,2,5,7,28,26,54,7.7,J40,14,5.2,7.714285714285714
Simple and mucopurulent chronic bronchitis (J41),no.,0,0,0,2,1,3,NA,J41,NA,NA,NA
Unspecified chronic bronchitis (J42),no.,2,7,9,24,24,48,5.3,J42,12,3.4285714285714284,5.333333333333333
Emphysema (J43),no.,431,288,719,1284,770,2054,2.9,J43,2.9791183294663575,2.673611111111111,2.8567454798331013
Other chronic obstructive pulmonary disease (J44),no.,3849,3747,7596,10522,9002,19524,2.6,J44,2.7336970641725125,2.4024552975713904,2.5703001579778832
Asthma (J45),no.,150,321,471,914,1471,2385,5.1,J45,6.093333333333334,4.582554517133956,5.063694267515924
Status asthmaticus (J46),no.,6,1,7,6,4,10,1.4,J46,1,4,1.4285714285714286
Bronchiectasis (J47),no.,132,288,420,439,797,1236,2.9,J47,3.3257575757575757,2.767361111111111,2.942857142857143
Lung diseases due to external agents (J60-J70),no.,887,633,1520,6673,4051,10724,7.1,J60-J70,7.523111612175874,6.399684044233807,7.0552631578947365
Coalworker's pneumoconiosis (J60),no.,2,0,2,7,0,7,3.5,J60,3.5,NA,3.5
Pneumoconiosis due to asbestos and other mineral fibres (J61),no.,117,5,122,367,17,384,3.1,J61,3.1367521367521367,3.4,3.1475409836065573
Pneumoconiosis due to dust containing silica (J62),no.,11,0,11,25,1,26,2.4,J62,2.272727272727273,NA,2.3636363636363638
Pneumoconiosis due to other inorganic dusts (J63),no.,0,0,0,3,0,3,NA,J63,NA,NA,NA
Unspecified pneumoconiosis (J64),no.,2,0,2,4,0,4,2,J64,2,NA,2
Pneumoconiosis associated with tuberculosis (J65),no.,0,1,1,0,1,1,1,J65,NA,1,1
Airway disease due to specific organic dust (J66),no.,1,0,1,1,0,1,1,J66,1,NA,1
Hypersensitivity pneumonitis due to organic dust (J67),no.,14,22,36,20,30,50,1.4,J67,1.4285714285714286,1.3636363636363635,1.3888888888888888
"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours (J68)",no.,1,0,1,1,0,1,1,J68,1,NA,1
Pneumonitis due to solids and liquids (J69),no.,730,597,1327,6192,3956,10148,7.6,J69,8.482191780821918,6.626465661641541,7.6473247927656365
Respiratory conditions due to other external agents (J70),no.,9,8,17,53,46,99,5.8,J70,5.888888888888889,5.75,5.823529411764706
Other respiratory diseases principally affecting the interstitium (J80-J84),no.,1090,693,1783,2949,2215,5164,2.9,J80-J84,2.7055045871559633,3.196248196248196,2.8962422882781826
Adult respiratory distress syndrome (J80),no.,5,3,8,81,71,152,19,J80,16.2,23.666666666666668,19
Pulmonary oedema (J81),no.,28,32,60,863,933,1796,29.9,J81,30.821428571428573,29.15625,29.933333333333334
"Pulmonary eosinophilia, not elsewhere classified (J82)",no.,2,6,8,10,14,24,3,J82,5,2.3333333333333335,3
Other interstitial pulmonary diseases (J84),no.,1055,652,1707,1995,1197,3192,1.9,J84,1.8909952606635072,1.8358895705521472,1.8699472759226714
Suppurative and necrotic conditions of lower respiratory tract (J85-J86),no.,51,21,72,189,89,278,3.9,J85-J86,3.7058823529411766,4.238095238095238,3.861111111111111
Abscess of lung and mediastinum (J85),no.,16,11,27,56,32,88,3.3,J85,3.5,2.909090909090909,3.259259259259259
Pyothorax (J86),no.,35,10,45,133,57,190,4.2,J86,3.8,5.7,4.222222222222222
Other diseases of pleura (J90-J94),no.,75,54,129,892,652,1544,12,J90-J94,11.893333333333333,12.074074074074074,11.968992248062015
"Pleural effusion, not elsewhere classified (J90)",no.,49,42,91,673,544,1217,13.4,J90,13.73469387755102,12.952380952380953,13.373626373626374
Pleural plaque (J92),no.,1,0,1,27,5,32,32,J92,27,NA,32
Pneumothorax (J93),no.,11,4,15,121,57,178,11.9,J93,11,14.25,11.866666666666667
Other pleural conditions (J94),no.,14,8,22,71,46,117,5.3,J94,5.071428571428571,5.75,5.318181818181818
Other diseases of the respiratory system (J95-J99),no.,157,180,337,5047,4783,9830,29.2,J95-J99,32.146496815286625,26.572222222222223,29.16913946587537
"Postprocedural respiratory disorders, not elsewhere classified (J95)",no.,0,0,0,11,3,14,NA,J95,NA,NA,NA
"Respiratory failure, not elsewhere classified (J96)",no.,44,48,92,3841,3741,7582,82.4,J96,87.29545454545455,77.9375,82.41304347826087
Other respiratory disorders (J98),no.,113,132,245,1195,1039,2234,9.1,J98,10.575221238938052,7.871212121212121,9.118367346938776
CHAPTER XI Diseases of the digestive system (K00-K93),no.,4123,3835,7958,14883,12557,27440,3.4,K00-K93,3.609750181906379,3.2743155149934813,3.4481025383262125
"Diseases of oral cavity, salivary glands and jaws (K00-K14)",no.,18,17,35,68,84,152,4.3,K00-K14,3.7777777777777777,4.9411764705882355,4.3428571428571425
Disorders of tooth development and eruption (K00),no.,0,0,0,0,0,0,NA,K00,NA,NA,NA
Embedded and impacted teeth (K01),no.,0,0,0,0,0,0,NA,K01,NA,NA,NA
Dental caries (K02),no.,1,0,1,5,5,10,10,K02,5,NA,10
Other diseases of hard tissues of teeth (K03),no.,0,0,0,2,1,3,NA,K03,NA,NA,NA
Diseases of pulp and periapical tissues (K04),no.,2,5,7,8,19,27,3.9,K04,4,3.8,3.857142857142857
Gingivitis and periodontal diseases (K05),no.,1,0,1,2,2,4,4,K05,2,NA,4
Other disorders of gingiva and edentulous alveolar ridge (K06),no.,0,0,0,0,0,0,NA,K06,NA,NA,NA
Dentofacial anomalies [including malocclusion] (K07),no.,0,0,0,3,1,4,NA,K07,NA,NA,NA
Other disorders of teeth and supporting structures (K08),no.,0,2,2,5,6,11,5.5,K08,NA,3,5.5
"Cysts of oral region, not elsewhere classified (K09)",no.,0,0,0,0,0,0,NA,K09,NA,NA,NA
Other diseases of jaws (K10),no.,0,0,0,8,5,13,NA,K10,NA,NA,NA
Diseases of salivary glands (K11),no.,7,6,13,18,28,46,3.5,K11,2.5714285714285716,4.666666666666667,3.5384615384615383
Stomatitis and related lesions (K12),no.,6,3,9,14,14,28,3.1,K12,2.3333333333333335,4.666666666666667,3.111111111111111
Other diseases of lip and oral mucosa (K13),no.,1,0,1,2,1,3,3,K13,2,NA,3
Diseases of tongue (K14),no.,0,1,1,1,2,3,3,K14,NA,2,3
"Diseases of oesophagus, stomach and duodenum (K20-K31)",no.,346,325,671,1652,1554,3206,4.8,K20-K31,4.77456647398844,4.781538461538462,4.7779433681073025
Oesophagitis (K20),no.,5,5,10,38,27,65,6.5,K20,7.6,5.4,6.5
Gastro-oesophageal reflux disease (K21),no.,36,47,83,644,689,1333,16.1,K21,17.88888888888889,14.659574468085106,16.06024096385542
Other diseases of oesophagus (K22),no.,96,99,195,309,258,567,2.9,K22,3.21875,2.606060606060606,2.9076923076923076
Gastric ulcer (K25),no.,35,31,66,87,90,177,2.7,K25,2.4857142857142858,2.903225806451613,2.6818181818181817
Duodenal ulcer (K26),no.,104,59,163,226,144,370,2.3,K26,2.173076923076923,2.440677966101695,2.2699386503067487
"Peptic ulcer, site unspecified (K27)",no.,30,27,57,98,89,187,3.3,K27,3.2666666666666666,3.2962962962962963,3.280701754385965
Gastrojejunal ulcer (K28),no.,0,2,2,4,5,9,4.5,K28,NA,2.5,4.5
Gastritis and duodenitis (K29),no.,3,18,21,36,48,84,4,K29,12,2.6666666666666665,4
Dyspepsia (K30),no.,0,0,0,0,0,0,NA,K30,NA,NA,NA
Other diseases of stomach and duodenum (K31),no.,37,37,74,210,204,414,5.6,K31,5.675675675675675,5.513513513513513,5.594594594594595
Diseases of appendix (K35-K38),no.,16,21,37,40,37,77,2.1,K35-K38,2.5,1.7619047619047619,2.081081081081081
Acute appendicitis (K35),no.,12,13,25,26,19,45,1.8,K35,2.1666666666666665,1.4615384615384615,1.8
Other appendicitis (K36),no.,0,1,1,0,1,1,1,K36,NA,1,1
Unspecified appendicitis (K37),no.,3,6,9,11,13,24,2.7,K37,3.6666666666666665,2.1666666666666665,2.6666666666666665
Other diseases of appendix (K38),no.,1,1,2,3,4,7,3.5,K38,3,4,3.5
Hernia (K40-K46),no.,175,180,355,367,352,719,2,K40-K46,2.097142857142857,1.9555555555555555,2.0253521126760563
Inguinal hernia (K40),no.,55,17,72,118,29,147,2,K40,2.1454545454545455,1.7058823529411764,2.0416666666666665
Femoral hernia (K41),no.,6,12,18,9,15,24,1.3,K41,1.5,1.25,1.3333333333333333
Umbilical hernia (K42),no.,16,18,34,32,23,55,1.6,K42,2,1.2777777777777777,1.6176470588235294
Ventral hernia (K43),no.,25,33,58,53,70,123,2.1,K43,2.12,2.121212121212121,2.1206896551724137
Diaphragmatic hernia (K44),no.,44,70,114,86,150,236,2.1,K44,1.9545454545454546,2.142857142857143,2.0701754385964914
Other abdominal hernia (K45),no.,0,8,8,1,15,16,2,K45,NA,1.875,2
Unspecified abdominal hernia (K46),no.,29,22,51,68,50,118,2.3,K46,2.3448275862068964,2.272727272727273,2.3137254901960786
Noninfective enteritis and colitis (K50-K52),no.,46,90,136,268,368,636,4.7,K50-K52,5.826086956521739,4.088888888888889,4.676470588235294
Crohn disease [regional enteritis] (K50),no.,12,28,40,88,125,213,5.3,K50,7.333333333333333,4.464285714285714,5.325
Ulcerative colitis (K51),no.,14,24,38,94,81,175,4.6,K51,6.714285714285714,3.375,4.605263157894737
Other noninfective gastroenteritis and colitis (K52),no.,20,38,58,86,162,248,4.3,K52,4.3,4.2631578947368425,4.275862068965517
Other diseases of intestines (K55-K64),no.,924,1278,2202,3178,3900,7078,3.2,K55-K64,3.4393939393939394,3.051643192488263,3.214350590372389
Vascular disorders of intestine (K55),no.,189,253,442,587,712,1299,2.9,K55,3.105820105820106,2.814229249011858,2.9389140271493215
Paralytic ileus and intestinal obstruction without hernia (K56),no.,469,582,1051,1507,1783,3290,3.1,K56,3.213219616204691,3.0635738831615122,3.1303520456707896
Diverticular disease of intestine (K57),no.,120,220,340,325,520,845,2.5,K57,2.7083333333333335,2.3636363636363638,2.485294117647059
Irritable bowel syndrome (K58),no.,0,1,1,13,15,28,28,K58,NA,15,28
Other functional intestinal disorders (K59),no.,18,23,41,101,112,213,5.2,K59,5.611111111111111,4.869565217391305,5.195121951219512
Fissure and fistula of anal and rectal regions (K60),no.,1,0,1,13,1,14,14,K60,13,NA,14
Abscess of anal and rectal regions (K61),no.,4,3,7,27,11,38,5.4,K61,6.75,3.6666666666666665,5.428571428571429
Other diseases of anus and rectum (K62),no.,38,53,91,113,136,249,2.7,K62,2.973684210526316,2.5660377358490565,2.7362637362637363
Other diseases of intestine (K63),no.,83,141,224,484,601,1085,4.8,K63,5.831325301204819,4.26241134751773,4.84375
Haemorrhoids and perianal venous thrombosis (K64),no.,2,2,4,8,9,17,4.3,K64,4,4.5,4.25
Diseases of peritoneum (K65-K67),no.,34,49,83,317,300,617,7.4,K65-K67,9.323529411764707,6.122448979591836,7.433734939759036
Peritonitis (K65),no.,19,21,40,201,158,359,9,K65,10.578947368421053,7.523809523809524,8.975
Other disorders of peritoneum (K66),no.,15,28,43,116,142,258,6,K66,7.733333333333333,5.071428571428571,6
Diseases of liver (K70-K77),no.,1650,943,2593,5807,3144,8951,3.5,K70-K77,3.5193939393939395,3.3340402969247083,3.4519861164674124
Alcoholic liver disease (K70),no.,766,296,1062,1237,440,1677,1.6,K70,1.614882506527415,1.4864864864864864,1.57909604519774
Toxic liver disease (K71),no.,6,3,9,25,11,36,4,K71,4.166666666666667,3.6666666666666665,4
"Hepatic failure, not elsewhere classified (K72)",no.,153,91,244,1533,883,2416,9.9,K72,10.019607843137255,9.703296703296703,9.901639344262295
"Chronic hepatitis, not elsewhere classified (K73)",no.,2,0,2,8,3,11,5.5,K73,4,NA,5.5
Fibrosis and cirrhosis of liver (K74),no.,548,358,906,1938,1035,2973,3.3,K74,3.5364963503649633,2.8910614525139664,3.281456953642384
Other inflammatory liver diseases (K75),no.,58,82,140,203,227,430,3.1,K75,3.5,2.768292682926829,3.0714285714285716
Other diseases of liver (K76),no.,117,113,230,863,545,1408,6.1,K76,7.3760683760683765,4.823008849557522,6.121739130434783
"Disorders of gallbladder, biliary tract and pancreas (K80-K87)",no.,544,554,1098,1416,1295,2711,2.5,K80-K87,2.6029411764705883,2.3375451263537905,2.4690346083788706
Cholelithiasis (K80),no.,69,67,136,146,151,297,2.2,K80,2.1159420289855073,2.253731343283582,2.1838235294117645
Cholecystitis (K81),no.,134,139,273,248,220,468,1.7,K81,1.8507462686567164,1.5827338129496402,1.7142857142857142
Other diseases of gallbladder (K82),no.,16,19,35,57,56,113,3.2,K82,3.5625,2.9473684210526314,3.2285714285714286
Other diseases of biliary tract (K83),no.,145,151,296,483,450,933,3.2,K83,3.331034482758621,2.980132450331126,3.152027027027027
Acute pancreatitis (K85),no.,143,138,281,298,271,569,2,K85,2.0839160839160837,1.963768115942029,2.0249110320284696
Other diseases of pancreas (K86),no.,37,40,77,184,147,331,4.3,K86,4.972972972972973,3.675,4.298701298701299
Other diseases of the digestive system (K90-K93),no.,370,378,748,1770,1523,3293,4.4,K90-K93,4.783783783783784,4.029100529100529,4.402406417112299
Intestinal malabsorption (K90),no.,1,11,12,37,71,108,9,K90,37,6.454545454545454,9
"Postprocedural disorders of digestive system, not elsewhere classified (K91)",no.,0,0,0,30,30,60,NA,K91,NA,NA,NA
Other diseases of digestive system (K92),no.,369,367,736,1703,1422,3125,4.2,K92,4.615176151761518,3.8746594005449593,4.2459239130434785
CHAPTER XII Diseases of the skin and subcutaneous tissue (L00-L99),no.,353,427,780,1694,1822,3516,4.5,L00-L99,4.798866855524079,4.2669789227166275,4.507692307692308
Infections of the skin and subcutaneous tissue (L00-L08),no.,243,263,506,855,842,1697,3.4,L00-L08,3.5185185185185186,3.2015209125475286,3.3537549407114624
Staphylococcal scalded skin syndrome (L00),no.,0,0,0,0,0,0,NA,L00,NA,NA,NA
Impetigo (L01),no.,0,0,0,1,2,3,NA,L01,NA,NA,NA
"Cutaneous abscess, furuncle and carbuncle (L02)",no.,6,6,12,32,38,70,5.8,L02,5.333333333333333,6.333333333333333,5.833333333333333
Cellulitis (L03),no.,187,216,403,539,573,1112,2.8,L03,2.8823529411764706,2.6527777777777777,2.759305210918114
Acute lymphadenitis (L04),no.,0,0,0,0,1,1,NA,L04,NA,NA,NA
Pilonidal cyst (L05),no.,1,0,1,4,2,6,6,L05,4,NA,6
Other local infections of skin and subcutaneous tissue (L08),no.,49,41,90,279,226,505,5.6,L08,5.6938775510204085,5.512195121951219,5.611111111111111
Bullous disorders (L10-L14),no.,13,10,23,51,55,106,4.6,L10-L14,3.923076923076923,5.5,4.608695652173913
Pemphigus (L10),no.,0,0,0,2,5,7,NA,L10,NA,NA,NA
Other acantholytic disorders (L11),no.,1,0,1,7,0,7,7,L11,7,NA,7
Pemphigoid (L12),no.,11,10,21,40,47,87,4.1,L12,3.6363636363636362,4.7,4.142857142857143
Other bullous disorders (L13),no.,1,0,1,2,3,5,5,L13,2,NA,5
Dermatitis and eczema (L20-L30),no.,5,4,9,28,27,55,6.1,L20-L30,5.6,6.75,6.111111111111111
Atopic dermatitis (L20),no.,1,0,1,3,3,6,6,L20,3,NA,6
Seborrhoeic dermatitis (L21),no.,0,0,0,0,1,1,NA,L21,NA,NA,NA
Diaper [napkin] dermatitis (L22),no.,0,0,0,0,0,0,NA,L22,NA,NA,NA
Allergic contact dermatitis (L23),no.,0,0,0,0,0,0,NA,L23,NA,NA,NA
Irritant contact dermatitis (L24),no.,0,0,0,0,0,0,NA,L24,NA,NA,NA
Unspecified contact dermatitis (L25),no.,0,0,0,0,0,0,NA,L25,NA,NA,NA
Exfoliative dermatitis (L26),no.,0,0,0,0,0,0,NA,L26,NA,NA,NA
Dermatitis due to substances taken internally (L27),no.,1,2,3,7,4,11,3.7,L27,7,2,3.6666666666666665
Lichen simplex chronicus and prurigo (L28),no.,1,0,1,1,4,5,5,L28,1,NA,5
Pruritus (L29),no.,0,0,0,2,1,3,NA,L29,NA,NA,NA
Other dermatitis (L30),no.,2,2,4,15,14,29,7.3,L30,7.5,7,7.25
Papulosquamous disorders (L40-L45),no.,6,6,12,75,66,141,11.8,L40-L45,12.5,11,11.75
Psoriasis (L40),no.,6,6,12,72,62,134,11.2,L40,12,10.333333333333334,11.166666666666666
Parapsoriasis (L41),no.,0,0,0,0,0,0,NA,L41,NA,NA,NA
Pityriasis rosea (L42),no.,0,0,0,0,0,0,NA,L42,NA,NA,NA
Lichen planus (L43),no.,0,0,0,0,4,4,NA,L43,NA,NA,NA
Other papulosquamous disorders (L44),no.,0,0,0,3,0,3,NA,L44,NA,NA,NA
Urticaria and erythema (L50-L54),no.,5,5,10,23,19,42,4.2,L50-L54,4.6,3.8,4.2
Urticaria (L50),no.,0,1,1,1,3,4,4,L50,NA,3,4
Erythema multiforme (L51),no.,4,4,8,15,10,25,3.1,L51,3.75,2.5,3.125
Erythema nodosum (L52),no.,0,0,0,0,0,0,NA,L52,NA,NA,NA
Other erythematous conditions (L53),no.,1,0,1,7,6,13,13,L53,7,NA,13
Radiation-related disorders of the skin and subcutaneous tissue (L55-L59),no.,0,0,0,11,4,15,NA,L55-L59,NA,NA,NA
Sunburn (L55),no.,0,0,0,2,0,2,NA,L55,NA,NA,NA
Other acute skin changes due to ultraviolet radiation (L56),no.,0,0,0,1,0,1,NA,L56,NA,NA,NA
Skin changes due to chronic exposure to nonionizing radiation (L57),no.,0,0,0,6,2,8,NA,L57,NA,NA,NA
Radiodermatitis (L58),no.,0,0,0,1,0,1,NA,L58,NA,NA,NA
Other disorders of skin and subcutaneous tissue related to radiation (L59),no.,0,0,0,1,2,3,NA,L59,NA,NA,NA
Disorders of skin appendages (L60-L75),no.,0,1,1,8,2,10,10,L60-L75,NA,2,10
Nail disorders (L60),no.,0,0,0,2,0,2,NA,L60,NA,NA,NA
Alopecia areata (L63),no.,0,0,0,0,0,0,NA,L63,NA,NA,NA
Androgenic alopecia (L64),no.,0,0,0,0,0,0,NA,L64,NA,NA,NA
Other nonscarring hair loss (L65),no.,0,0,0,0,1,1,NA,L65,NA,NA,NA
Cicatricial alopecia [scarring hair loss] (L66),no.,0,0,0,0,0,0,NA,L66,NA,NA,NA
Hair colour and hair shaft abnormalities (L67),no.,0,0,0,0,0,0,NA,L67,NA,NA,NA
Hypertrichosis (L68),no.,0,0,0,0,0,0,NA,L68,NA,NA,NA
Acne (L70),no.,0,0,0,1,0,1,NA,L70,NA,NA,NA
Rosacea (L71),no.,0,0,0,2,0,2,NA,L71,NA,NA,NA
Follicular cysts of skin and subcutaneous tissue (L72),no.,0,1,1,2,1,3,3,L72,NA,1,3
Other follicular disorders (L73),no.,0,0,0,1,0,1,NA,L73,NA,NA,NA
Eccrine sweat disorders (L74),no.,0,0,0,0,0,0,NA,L74,NA,NA,NA
Apocrine sweat disorders (L75),no.,0,0,0,0,0,0,NA,L75,NA,NA,NA
Other disorders of the skin and subcutaneous tissue (L80-L99),no.,81,138,219,643,807,1450,6.6,L80-L99,7.938271604938271,5.8478260869565215,6.621004566210046
Vitiligo (L80),no.,0,0,0,0,0,0,NA,L80,NA,NA,NA
Other disorders of pigmentation (L81),no.,0,0,0,0,0,0,NA,L81,NA,NA,NA
Seborrhoeic keratosis (L82),no.,0,0,0,0,1,1,NA,L82,NA,NA,NA
Acanthosis nigricans (L83),no.,0,0,0,0,0,0,NA,L83,NA,NA,NA
Corns and callosities (L84),no.,0,0,0,0,0,0,NA,L84,NA,NA,NA
Other epidermal thickening (L85),no.,0,0,0,2,0,2,NA,L85,NA,NA,NA
Transepidermal elimination disorders (L87),no.,0,1,1,0,1,1,1,L87,NA,1,1
Pyoderma gangrenosum (L88),no.,2,5,7,9,14,23,3.3,L88,4.5,2.8,3.2857142857142856
Decubitus ulcer (L89),no.,23,48,71,226,332,558,7.9,L89,9.826086956521738,6.916666666666667,7.859154929577465
