cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Acute upper respiratory infections of multiple and unspecified sites (J06),no.,1,1,2,22,31,53,26.5,J06,Acute upper respiratory infections of multiple and unspecified sites,FALSE,FALSE,26.5,22,31
Influenza and pneumonia (J09-J18),no.,1718,1947,3665,9436,8404,17840,4.9000000000000004,J09-J18,Influenza and pneumonia,FALSE,FALSE,4.867667121418827,5.492433061699651,4.31638418079096
Influenza due to certain identified influenza virus (J09),no.,2,0,2,2,0,2,1,J09,Influenza due to certain identified influenza virus,FALSE,FALSE,1,1,NA
Influenza due to other identified influenza virus (J10),no.,345,369,714,566,596,1162,1.6,J10,Influenza due to other identified influenza virus,FALSE,FALSE,1.6274509803921569,1.6405797101449275,1.6151761517615175
"Influenza, virus not identified (J11)",no.,50,61,111,91,88,179,1.6,J11,"Influenza, virus not identified",FALSE,FALSE,1.6126126126126126,1.82,1.4426229508196722
"Viral pneumonia, not elsewhere classified (J12)",no.,70,104,174,667,646,1313,7.5,J12,"Viral pneumonia, not elsewhere classified",FALSE,FALSE,7.545977011494253,9.528571428571428,6.211538461538462
Pneumonia due to Streptococcus pneumoniae (J13),no.,12,5,17,26,18,44,2.6,J13,Pneumonia due to Streptococcus pneumoniae,FALSE,FALSE,2.588235294117647,2.1666666666666665,3.6
Pneumonia due to Haemophilus influenzae (J14),no.,2,3,5,6,11,17,3.4,J14,Pneumonia due to Haemophilus influenzae,FALSE,FALSE,3.4,3,3.6666666666666665
"Bacterial pneumonia, not elsewhere classified (J15)",no.,47,36,83,322,281,603,7.3,J15,"Bacterial pneumonia, not elsewhere classified",FALSE,FALSE,7.265060240963855,6.851063829787234,7.805555555555555
"Pneumonia due to other infectious organisms, not elsewhere classified (J16)",no.,1,0,1,3,1,4,4,J16,"Pneumonia due to other infectious organisms, not elsewhere classified",FALSE,FALSE,4,3,NA
"Pneumonia, organism unspecified (J18)",no.,1189,1369,2558,7753,6763,14516,5.7,J18,"Pneumonia, organism unspecified",FALSE,FALSE,5.674745895230649,6.520605550883095,4.940102264426589
Other acute lower respiratory infections (J20-J22),no.,113,189,302,869,963,1832,6.1,J20-J22,Other acute lower respiratory infections,FALSE,FALSE,6.066225165562914,7.6902654867256635,5.095238095238095
Acute bronchitis (J20),no.,5,3,8,17,15,32,4,J20,Acute bronchitis,FALSE,FALSE,4,3.4,5
Acute bronchiolitis (J21),no.,3,0,3,20,9,29,9.6999999999999993,J21,Acute bronchiolitis,FALSE,FALSE,9.666666666666666,6.666666666666667,NA
Unspecified acute lower respiratory infection (J22),no.,105,186,291,832,939,1771,6.1,J22,Unspecified acute lower respiratory infection,FALSE,FALSE,6.085910652920962,7.923809523809524,5.048387096774194
Other diseases of upper respiratory tract (J30-J39),no.,25,22,47,100,72,172,3.7,J30-J39,Other diseases of upper respiratory tract,FALSE,FALSE,3.6595744680851063,4,3.272727272727273
Vasomotor and allergic rhinitis (J30),no.,0,0,0,3,3,6,—,J30,Vasomotor and allergic rhinitis,FALSE,FALSE,NA,NA,NA
"Chronic rhinitis, nasopharyngitis and pharyngitis (J31)",no.,0,0,0,0,1,1,—,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",FALSE,FALSE,NA,NA,NA
Chronic sinusitis (J32),no.,7,2,9,23,8,31,3.4,J32,Chronic sinusitis,FALSE,FALSE,3.4444444444444446,3.2857142857142856,4
Nasal polyp (J33),no.,0,0,0,0,0,0,—,J33,Nasal polyp,FALSE,FALSE,NA,NA,NA
Other disorders of nose and nasal sinuses (J34),no.,0,0,0,2,2,4,—,J34,Other disorders of nose and nasal sinuses,FALSE,FALSE,NA,NA,NA
Chronic diseases of tonsils and adenoids (J35),no.,0,1,1,2,1,3,3,J35,Chronic diseases of tonsils and adenoids,FALSE,FALSE,3,NA,1
Peritonsillar abscess (J36),no.,0,1,1,0,1,1,1,J36,Peritonsillar abscess,FALSE,FALSE,1,NA,1
Chronic laryngitis and laryngotracheitis (J37),no.,0,0,0,0,0,0,—,J37,Chronic laryngitis and laryngotracheitis,FALSE,FALSE,NA,NA,NA
"Diseases of vocal cords and larynx, not elsewhere classified (J38)",no.,13,8,21,46,24,70,3.3,J38,"Diseases of vocal cords and larynx, not elsewhere classified",FALSE,FALSE,3.3333333333333335,3.5384615384615383,3
Other diseases of upper respiratory tract (J39),no.,5,10,15,24,32,56,3.7,J39,Other diseases of upper respiratory tract,FALSE,FALSE,3.7333333333333334,4.8,3.2
Chronic lower respiratory diseases (J40-J47),no.,4572,4657,9229,13219,12095,25314,2.7,J40-J47,Chronic lower respiratory diseases,FALSE,FALSE,2.7428757178459207,2.8912948381452317,2.597165557225682
"Bronchitis, not specified as acute or chronic (J40)",no.,2,5,7,28,26,54,7.7,J40,"Bronchitis, not specified as acute or chronic",FALSE,FALSE,7.714285714285714,14,5.2
Simple and mucopurulent chronic bronchitis (J41),no.,0,0,0,2,1,3,—,J41,Simple and mucopurulent chronic bronchitis,FALSE,FALSE,NA,NA,NA
Unspecified chronic bronchitis (J42),no.,2,7,9,24,24,48,5.3,J42,Unspecified chronic bronchitis,FALSE,FALSE,5.333333333333333,12,3.4285714285714284
Emphysema (J43),no.,431,288,719,1284,770,2054,2.9,J43,Emphysema,FALSE,FALSE,2.8567454798331013,2.9791183294663575,2.673611111111111
Other chronic obstructive pulmonary disease (J44),no.,3849,3747,7596,10522,9002,19524,2.6,J44,Other chronic obstructive pulmonary disease,FALSE,FALSE,2.5703001579778832,2.7336970641725125,2.4024552975713904
Asthma (J45),no.,150,321,471,914,1471,2385,5.0999999999999996,J45,Asthma,FALSE,FALSE,5.063694267515924,6.093333333333334,4.582554517133956
Status asthmaticus (J46),no.,6,1,7,6,4,10,1.4,J46,Status asthmaticus,FALSE,FALSE,1.4285714285714286,1,4
Bronchiectasis (J47),no.,132,288,420,439,797,1236,2.9,J47,Bronchiectasis,FALSE,FALSE,2.942857142857143,3.3257575757575757,2.767361111111111
Lung diseases due to external agents (J60-J70),no.,887,633,1520,6673,4051,10724,7.1,J60-J70,Lung diseases due to external agents,FALSE,FALSE,7.0552631578947365,7.523111612175874,6.399684044233807
Coalworker's pneumoconiosis (J60),no.,2,0,2,7,0,7,3.5,J60,Coalworker's pneumoconiosis,FALSE,FALSE,3.5,3.5,NA
Pneumoconiosis due to asbestos and other mineral fibres (J61),no.,117,5,122,367,17,384,3.1,J61,Pneumoconiosis due to asbestos and other mineral fibres,FALSE,FALSE,3.1475409836065573,3.1367521367521367,3.4
Pneumoconiosis due to dust containing silica (J62),no.,11,0,11,25,1,26,2.4,J62,Pneumoconiosis due to dust containing silica,FALSE,FALSE,2.3636363636363638,2.272727272727273,NA
Pneumoconiosis due to other inorganic dusts (J63),no.,0,0,0,3,0,3,—,J63,Pneumoconiosis due to other inorganic dusts,FALSE,FALSE,NA,NA,NA
Unspecified pneumoconiosis (J64),no.,2,0,2,4,0,4,2,J64,Unspecified pneumoconiosis,FALSE,FALSE,2,2,NA
Pneumoconiosis associated with tuberculosis (J65),no.,0,1,1,0,1,1,1,J65,Pneumoconiosis associated with tuberculosis,FALSE,FALSE,1,NA,1
Airway disease due to specific organic dust (J66),no.,1,0,1,1,0,1,1,J66,Airway disease due to specific organic dust,FALSE,FALSE,1,1,NA
Hypersensitivity pneumonitis due to organic dust (J67),no.,14,22,36,20,30,50,1.4,J67,Hypersensitivity pneumonitis due to organic dust,FALSE,FALSE,1.3888888888888888,1.4285714285714286,1.3636363636363635
"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours (J68)",no.,1,0,1,1,0,1,1,J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",FALSE,FALSE,1,1,NA
Pneumonitis due to solids and liquids (J69),no.,730,597,1327,6192,3956,10148,7.6,J69,Pneumonitis due to solids and liquids,FALSE,FALSE,7.6473247927656365,8.482191780821918,6.626465661641541
Respiratory conditions due to other external agents (J70),no.,9,8,17,53,46,99,5.8,J70,Respiratory conditions due to other external agents,FALSE,FALSE,5.823529411764706,5.888888888888889,5.75
Other respiratory diseases principally affecting the interstitium (J80-J84),no.,1090,693,1783,2949,2215,5164,2.9,J80-J84,Other respiratory diseases principally affecting the interstitium,FALSE,FALSE,2.8962422882781826,2.7055045871559633,3.196248196248196
Adult respiratory distress syndrome (J80),no.,5,3,8,81,71,152,19,J80,Adult respiratory distress syndrome,FALSE,FALSE,19,16.2,23.666666666666668
Pulmonary oedema (J81),no.,28,32,60,863,933,1796,29.9,J81,Pulmonary oedema,FALSE,FALSE,29.933333333333334,30.821428571428573,29.15625
"Pulmonary eosinophilia, not elsewhere classified (J82)",no.,2,6,8,10,14,24,3,J82,"Pulmonary eosinophilia, not elsewhere classified",FALSE,FALSE,3,5,2.3333333333333335
Other interstitial pulmonary diseases (J84),no.,1055,652,1707,1995,1197,3192,1.9,J84,Other interstitial pulmonary diseases,FALSE,FALSE,1.8699472759226714,1.8909952606635072,1.8358895705521472
Suppurative and necrotic conditions of lower respiratory tract (J85-J86),no.,51,21,72,189,89,278,3.9,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,FALSE,FALSE,3.861111111111111,3.7058823529411766,4.238095238095238
Abscess of lung and mediastinum (J85),no.,16,11,27,56,32,88,3.3,J85,Abscess of lung and mediastinum,FALSE,FALSE,3.259259259259259,3.5,2.909090909090909
Pyothorax (J86),no.,35,10,45,133,57,190,4.2,J86,Pyothorax,FALSE,FALSE,4.222222222222222,3.8,5.7
Other diseases of pleura (J90-J94),no.,75,54,129,892,652,1544,12,J90-J94,Other diseases of pleura,FALSE,FALSE,11.968992248062015,11.893333333333333,12.074074074074074
"Pleural effusion, not elsewhere classified (J90)",no.,49,42,91,673,544,1217,13.4,J90,"Pleural effusion, not elsewhere classified",FALSE,FALSE,13.373626373626374,13.73469387755102,12.952380952380953
Pleural plaque (J92),no.,1,0,1,27,5,32,32,J92,Pleural plaque,FALSE,FALSE,32,27,NA
Pneumothorax (J93),no.,11,4,15,121,57,178,11.9,J93,Pneumothorax,FALSE,FALSE,11.866666666666667,11,14.25
Other pleural conditions (J94),no.,14,8,22,71,46,117,5.3,J94,Other pleural conditions,FALSE,FALSE,5.318181818181818,5.071428571428571,5.75
Other diseases of the respiratory system (J95-J99),no.,157,180,337,5047,4783,9830,29.2,J95-J99,Other diseases of the respiratory system,FALSE,FALSE,29.16913946587537,32.146496815286625,26.572222222222223
"Postprocedural respiratory disorders, not elsewhere classified (J95)",no.,0,0,0,11,3,14,—,J95,"Postprocedural respiratory disorders, not elsewhere classified",FALSE,FALSE,NA,NA,NA
"Respiratory failure, not elsewhere classified (J96)",no.,44,48,92,3841,3741,7582,82.4,J96,"Respiratory failure, not elsewhere classified",FALSE,FALSE,82.41304347826087,87.29545454545455,77.9375
Other respiratory disorders (J98),no.,113,132,245,1195,1039,2234,9.1,J98,Other respiratory disorders,FALSE,FALSE,9.118367346938776,10.575221238938052,7.871212121212121
CHAPTER XI Diseases of the digestive system (K00-K93),no.,4123,3835,7958,14883,12557,27440,3.4,K00-K93,CHAPTER XI Diseases of the digestive system,TRUE,FALSE,3.4481025383262125,3.609750181906379,3.2743155149934813
"Diseases of oral cavity, salivary glands and jaws (K00-K14)",no.,18,17,35,68,84,152,4.3,K00-K14,"Diseases of oral cavity, salivary glands and jaws",FALSE,FALSE,4.3428571428571425,3.7777777777777777,4.9411764705882355
Disorders of tooth development and eruption (K00),no.,0,0,0,0,0,0,—,K00,Disorders of tooth development and eruption,FALSE,FALSE,NA,NA,NA
Embedded and impacted teeth (K01),no.,0,0,0,0,0,0,—,K01,Embedded and impacted teeth,FALSE,FALSE,NA,NA,NA
Dental caries (K02),no.,1,0,1,5,5,10,10,K02,Dental caries,FALSE,FALSE,10,5,NA
Other diseases of hard tissues of teeth (K03),no.,0,0,0,2,1,3,—,K03,Other diseases of hard tissues of teeth,FALSE,FALSE,NA,NA,NA
Diseases of pulp and periapical tissues (K04),no.,2,5,7,8,19,27,3.9,K04,Diseases of pulp and periapical tissues,FALSE,FALSE,3.857142857142857,4,3.8
Gingivitis and periodontal diseases (K05),no.,1,0,1,2,2,4,4,K05,Gingivitis and periodontal diseases,FALSE,FALSE,4,2,NA
Other disorders of gingiva and edentulous alveolar ridge (K06),no.,0,0,0,0,0,0,—,K06,Other disorders of gingiva and edentulous alveolar ridge,FALSE,FALSE,NA,NA,NA
Dentofacial anomalies [including malocclusion] (K07),no.,0,0,0,3,1,4,—,K07,Dentofacial anomalies [including malocclusion],FALSE,FALSE,NA,NA,NA
Other disorders of teeth and supporting structures (K08),no.,0,2,2,5,6,11,5.5,K08,Other disorders of teeth and supporting structures,FALSE,FALSE,5.5,NA,3
"Cysts of oral region, not elsewhere classified (K09)",no.,0,0,0,0,0,0,—,K09,"Cysts of oral region, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Other diseases of jaws (K10),no.,0,0,0,8,5,13,—,K10,Other diseases of jaws,FALSE,FALSE,NA,NA,NA
Diseases of salivary glands (K11),no.,7,6,13,18,28,46,3.5,K11,Diseases of salivary glands,FALSE,FALSE,3.5384615384615383,2.5714285714285716,4.666666666666667
Stomatitis and related lesions (K12),no.,6,3,9,14,14,28,3.1,K12,Stomatitis and related lesions,FALSE,FALSE,3.111111111111111,2.3333333333333335,4.666666666666667
Other diseases of lip and oral mucosa (K13),no.,1,0,1,2,1,3,3,K13,Other diseases of lip and oral mucosa,FALSE,FALSE,3,2,NA
Diseases of tongue (K14),no.,0,1,1,1,2,3,3,K14,Diseases of tongue,FALSE,FALSE,3,NA,2
"Diseases of oesophagus, stomach and duodenum (K20-K31)",no.,346,325,671,1652,1554,3206,4.8,K20-K31,"Diseases of oesophagus, stomach and duodenum",FALSE,FALSE,4.7779433681073025,4.77456647398844,4.781538461538462
Oesophagitis (K20),no.,5,5,10,38,27,65,6.5,K20,Oesophagitis,FALSE,FALSE,6.5,7.6,5.4
Gastro-oesophageal reflux disease (K21),no.,36,47,83,644,689,1333,16.100000000000001,K21,Gastro-oesophageal reflux disease,FALSE,FALSE,16.06024096385542,17.88888888888889,14.659574468085106
Other diseases of oesophagus (K22),no.,96,99,195,309,258,567,2.9,K22,Other diseases of oesophagus,FALSE,FALSE,2.9076923076923076,3.21875,2.606060606060606
Gastric ulcer (K25),no.,35,31,66,87,90,177,2.7,K25,Gastric ulcer,FALSE,FALSE,2.6818181818181817,2.4857142857142858,2.903225806451613
Duodenal ulcer (K26),no.,104,59,163,226,144,370,2.2999999999999998,K26,Duodenal ulcer,FALSE,FALSE,2.2699386503067487,2.173076923076923,2.440677966101695
"Peptic ulcer, site unspecified (K27)",no.,30,27,57,98,89,187,3.3,K27,"Peptic ulcer, site unspecified",FALSE,FALSE,3.280701754385965,3.2666666666666666,3.2962962962962963
Gastrojejunal ulcer (K28),no.,0,2,2,4,5,9,4.5,K28,Gastrojejunal ulcer,FALSE,FALSE,4.5,NA,2.5
Gastritis and duodenitis (K29),no.,3,18,21,36,48,84,4,K29,Gastritis and duodenitis,FALSE,FALSE,4,12,2.6666666666666665
Dyspepsia (K30),no.,0,0,0,0,0,0,—,K30,Dyspepsia,FALSE,FALSE,NA,NA,NA
Other diseases of stomach and duodenum (K31),no.,37,37,74,210,204,414,5.6,K31,Other diseases of stomach and duodenum,FALSE,FALSE,5.594594594594595,5.675675675675675,5.513513513513513
Diseases of appendix (K35-K38),no.,16,21,37,40,37,77,2.1,K35-K38,Diseases of appendix,FALSE,FALSE,2.081081081081081,2.5,1.7619047619047619
Acute appendicitis (K35),no.,12,13,25,26,19,45,1.8,K35,Acute appendicitis,FALSE,FALSE,1.8,2.1666666666666665,1.4615384615384615
Other appendicitis (K36),no.,0,1,1,0,1,1,1,K36,Other appendicitis,FALSE,FALSE,1,NA,1
Unspecified appendicitis (K37),no.,3,6,9,11,13,24,2.7,K37,Unspecified appendicitis,FALSE,FALSE,2.6666666666666665,3.6666666666666665,2.1666666666666665
Other diseases of appendix (K38),no.,1,1,2,3,4,7,3.5,K38,Other diseases of appendix,FALSE,FALSE,3.5,3,4
Hernia (K40-K46),no.,175,180,355,367,352,719,2,K40-K46,Hernia,FALSE,FALSE,2.0253521126760563,2.097142857142857,1.9555555555555555
Inguinal hernia (K40),no.,55,17,72,118,29,147,2,K40,Inguinal hernia,FALSE,FALSE,2.0416666666666665,2.1454545454545455,1.7058823529411764
Femoral hernia (K41),no.,6,12,18,9,15,24,1.3,K41,Femoral hernia,FALSE,FALSE,1.3333333333333333,1.5,1.25
Umbilical hernia (K42),no.,16,18,34,32,23,55,1.6,K42,Umbilical hernia,FALSE,FALSE,1.6176470588235294,2,1.2777777777777777
Ventral hernia (K43),no.,25,33,58,53,70,123,2.1,K43,Ventral hernia,FALSE,FALSE,2.1206896551724137,2.12,2.121212121212121
Diaphragmatic hernia (K44),no.,44,70,114,86,150,236,2.1,K44,Diaphragmatic hernia,FALSE,FALSE,2.0701754385964914,1.9545454545454546,2.142857142857143
Other abdominal hernia (K45),no.,0,8,8,1,15,16,2,K45,Other abdominal hernia,FALSE,FALSE,2,NA,1.875
Unspecified abdominal hernia (K46),no.,29,22,51,68,50,118,2.2999999999999998,K46,Unspecified abdominal hernia,FALSE,FALSE,2.3137254901960786,2.3448275862068964,2.272727272727273
Noninfective enteritis and colitis (K50-K52),no.,46,90,136,268,368,636,4.7,K50-K52,Noninfective enteritis and colitis,FALSE,FALSE,4.676470588235294,5.826086956521739,4.088888888888889
Crohn disease [regional enteritis] (K50),no.,12,28,40,88,125,213,5.3,K50,Crohn disease [regional enteritis],FALSE,FALSE,5.325,7.333333333333333,4.464285714285714
Ulcerative colitis (K51),no.,14,24,38,94,81,175,4.5999999999999996,K51,Ulcerative colitis,FALSE,FALSE,4.605263157894737,6.714285714285714,3.375
Other noninfective gastroenteritis and colitis (K52),no.,20,38,58,86,162,248,4.3,K52,Other noninfective gastroenteritis and colitis,FALSE,FALSE,4.275862068965517,4.3,4.2631578947368425
Other diseases of intestines (K55-K64),no.,924,1278,2202,3178,3900,7078,3.2,K55-K64,Other diseases of intestines,FALSE,FALSE,3.214350590372389,3.4393939393939394,3.051643192488263
Vascular disorders of intestine (K55),no.,189,253,442,587,712,1299,2.9,K55,Vascular disorders of intestine,FALSE,FALSE,2.9389140271493215,3.105820105820106,2.814229249011858
Paralytic ileus and intestinal obstruction without hernia (K56),no.,469,582,1051,1507,1783,3290,3.1,K56,Paralytic ileus and intestinal obstruction without hernia,FALSE,FALSE,3.1303520456707896,3.213219616204691,3.0635738831615122
Diverticular disease of intestine (K57),no.,120,220,340,325,520,845,2.5,K57,Diverticular disease of intestine,FALSE,FALSE,2.485294117647059,2.7083333333333335,2.3636363636363638
Irritable bowel syndrome (K58),no.,0,1,1,13,15,28,28,K58,Irritable bowel syndrome,FALSE,FALSE,28,NA,15
Other functional intestinal disorders (K59),no.,18,23,41,101,112,213,5.2,K59,Other functional intestinal disorders,FALSE,FALSE,5.195121951219512,5.611111111111111,4.869565217391305
Fissure and fistula of anal and rectal regions (K60),no.,1,0,1,13,1,14,14,K60,Fissure and fistula of anal and rectal regions,FALSE,FALSE,14,13,NA
Abscess of anal and rectal regions (K61),no.,4,3,7,27,11,38,5.4,K61,Abscess of anal and rectal regions,FALSE,FALSE,5.428571428571429,6.75,3.6666666666666665
Other diseases of anus and rectum (K62),no.,38,53,91,113,136,249,2.7,K62,Other diseases of anus and rectum,FALSE,FALSE,2.7362637362637363,2.973684210526316,2.5660377358490565
Other diseases of intestine (K63),no.,83,141,224,484,601,1085,4.8,K63,Other diseases of intestine,FALSE,FALSE,4.84375,5.831325301204819,4.26241134751773
Haemorrhoids and perianal venous thrombosis (K64),no.,2,2,4,8,9,17,4.3,K64,Haemorrhoids and perianal venous thrombosis,FALSE,FALSE,4.25,4,4.5
Diseases of peritoneum (K65-K67),no.,34,49,83,317,300,617,7.4,K65-K67,Diseases of peritoneum,FALSE,FALSE,7.433734939759036,9.323529411764707,6.122448979591836
Peritonitis (K65),no.,19,21,40,201,158,359,9,K65,Peritonitis,FALSE,FALSE,8.975,10.578947368421053,7.523809523809524
Other disorders of peritoneum (K66),no.,15,28,43,116,142,258,6,K66,Other disorders of peritoneum,FALSE,FALSE,6,7.733333333333333,5.071428571428571
Diseases of liver (K70-K77),no.,1650,943,2593,5807,3144,8951,3.5,K70-K77,Diseases of liver,FALSE,FALSE,3.4519861164674124,3.5193939393939395,3.3340402969247083
Alcoholic liver disease (K70),no.,766,296,1062,1237,440,1677,1.6,K70,Alcoholic liver disease,FALSE,FALSE,1.57909604519774,1.614882506527415,1.4864864864864864
Toxic liver disease (K71),no.,6,3,9,25,11,36,4,K71,Toxic liver disease,FALSE,FALSE,4,4.166666666666667,3.6666666666666665
"Hepatic failure, not elsewhere classified (K72)",no.,153,91,244,1533,883,2416,9.9,K72,"Hepatic failure, not elsewhere classified",FALSE,FALSE,9.901639344262295,10.019607843137255,9.703296703296703
"Chronic hepatitis, not elsewhere classified (K73)",no.,2,0,2,8,3,11,5.5,K73,"Chronic hepatitis, not elsewhere classified",FALSE,FALSE,5.5,4,NA
Fibrosis and cirrhosis of liver (K74),no.,548,358,906,1938,1035,2973,3.3,K74,Fibrosis and cirrhosis of liver,FALSE,FALSE,3.281456953642384,3.5364963503649633,2.8910614525139664
